Index,Ticket ID,Customer Plan,Ticket Subject,Ticket Text,Priority Hint
1,BGLXVMkiDh,Enterprise,Webhook failed during enrichment,I need help with LinkedIn URLs because we found the run stopped overnight. This started after we exported from Excel. We need this before a customer meeting. Please show failed rows and let me know the next step.,Urgent
2,IlatxTSdB1,Pro,Invoice has extra seats,"After checking a canceled add-on, we saw that the invoice was already sent to finance. The upload file is a tab-separated file created during a migration test. This started after we exported from Salesforce. The sales team is waiting for the cleaned file. Is there a way to confirm the active seats?",Medium
3,ZxsWg7bx1e,Enterprise,CSV columns shifted after upload,"While preparing a lead file for a deadline, we found quoted values from Excel. The upload file is a tab-separated file created after a scheduled sync. This started after we exported from Salesforce. We are testing this on a small file before running the full import. What is the safest way to recover the original columns?",High
4,p8lxBSAAKC,Enterprise,Large export is slow,"Our team is working on a 200k-row collection, and we found the browser tab was closed by mistake. This started after we exported from Salesforce. It is not urgent, but it affects several users. Please export only visible columns and let me know the next step.",Urgent
5,LGGSmTywc6,Free,Save AI prompts for the team,"A teammate checked cleaning prompts and found different teammates need the same instructions. The workspace has 58 active users. The file has 1,200 rows and 86 columns. The same workflow worked last week. Can you confirm whether you can compare prompt outputs?",Low
6,r5Zfa1RIUx,Business,Encoding issue in names,"Our team is working on Portuguese product descriptions, and we found the export was saved on a Windows laptop. This started after we exported from an internal admin tool. The same workflow worked last week. Can you help us fix the encoding?",Low
7,B15cnj3Ly4,Pro,Reusable prompt templates,I need help with translation prompts because we found we need approvals before changing prompts. The upload file is a Excel export created last Friday. The workspace has 3 active users. We need this before a customer meeting. Could you help us lock approved prompts?,Medium
8,lMRV33gOAz,Business,Cannot access workspace,"I need help with the owner account because we found SSO redirects to the wrong workspace. This started after we exported from HubSpot. It is not urgent, but it affects several users. Can you confirm whether you can send a recovery link?",Low
9,o8dC4nhE0k,Free,Billing amount looks wrong,"While preparing a canceled add-on for a deadline, we found the invoice was already sent to finance. The file has 1,000,000 rows and 86 columns. It is not urgent, but it affects several users. Can you help us confirm the active seats?",Urgent
10,UPVDz1PDzj,Pro,Export has been running too long,"Our team is working on an enriched company table, and we found the export must include all columns. This started after we exported from Salesforce. The issue affects one workspace, but not another. What should we check before we help me split the file?",Urgent
